"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"H4,H2,H1,H3";"MountingHole_3.2mm_M3_ISO7380_Pad";4;"MountingHole_Pad";;;
2;"F1";"Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder";1;"1812L300MR";;;
3;"D1";"SOT-323_SC-70_Handsoldering";1;"D_Zener";;;
4;"Q1";"SOT-23";1;"2N7002";;;
5;"R1,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5.1k";;;
6;"J3,J2,J4";"PinHeader_1x04_P2.00mm_Vertical";3;"Conn_01x04";;;
7;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LM393";;;
8;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"4.7k";;;
9;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"20k";;;
10;"C3,C2";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"22uF";;;
11;"D2,D3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"LED";;;
12;"C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100nF";;;
13;"U2";"OnSemi-WQFN12-3x2mm_P0.5mm";1;"~";;;
14;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1K";;;
15;"R5,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"470";;;
16;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1uF";;;
17;"H7,H6,H5";"JLCPCB-tooling-hole";3;"MountingHole";;;
18;"D5,D4";"D_SOD-123";2;"1N4148W";;;
19;"R9,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1k";;;
20;"D6";"D_SOD-523";1;"D_Zener";;;
21;"U3";"SOT-23-6";1;"SRV05-4";;;
22;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
23;"TP4,TP2,TP3,TP1";"TestPoint_Pad_D2.5mm";4;"TestPoint";;;
